Co_Ref,Contact_ID,Call_Date,Direction,cc_business_struggles_financial_hardship,cc_dissatisfaction_support,cc_contractor_sentiment,cc_contractor_sentiment_issues_score,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_complained,Analysed_Call
HV3323,625513000000.0,2025-05-08,OUT_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
PJ7066,591087000000.0,2024-11-25,OUT_BOUND,No,No,Dissatisfied,0,Yes,No,Yes,1
DP6030,565091000000.0,2024-10-23,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
AM2413,593975000000.0,2025-01-13,IN_BOUND,Yes,Yes,Dissatisfied,30,Yes,Yes,Yes,1
ED6707,622282000000.0,2025-03-19,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
HA1852,680316000000.0,2025-08-11,OUT_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
PS9125,679955000000.0,2025-08-06,IN_BOUND,No,Yes,Dissatisfied,10,Yes,No,Yes,1
YN3872,592748000000.0,2024-12-20,IN_BOUND,Yes,No,Dissatisfied,60,Yes,No,Yes,1
AP7473,652191000000.0,2025-06-17,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
IP6445,688425000000.0,2025-11-25,OUT_BOUND,No,Yes,Dissatisfied,20,No,No,Yes,1
II7037,680941000000.0,2025-08-20,IN_BOUND,No,Yes,Dissatisfied,20,Yes,No,Yes,1
EG0701,625851000000.0,2025-05-12,IN_BOUND,Yes,No,Dissatisfied,60,Yes,No,Yes,1
RF9231,688424000000.0,2025-11-25,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
LS7290,596363000000.0,2025-02-18,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,No,Yes,1
RS9150,689199000000.0,2025-12-04,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
YM0388,689552000000.0,2025-12-09,OUT_BOUND,No,No,Dissatisfied,40,No,No,Yes,1
MG7632,684557000000.0,2025-10-08,IN_BOUND,Yes,Yes,Dissatisfied,40,Yes,No,Yes,1
YL7484,684954000000.0,2025-10-13,OUT_BOUND,Yes,No,Dissatisfied,30,Yes,No,Yes,1
KJ9098,594137000000.0,2025-01-15,IN_BOUND,No,Yes,Dissatisfied,40,Yes,No,Yes,1
DG2564,684558000000.0,2025-10-09,IN_BOUND,No,No,Dissatisfied,40,Yes,Yes,Yes,1
KR2400,684558000000.0,2025-10-09,IN_BOUND,Yes,No,Dissatisfied,20,Yes,No,Yes,1
BX0353,677234000000.0,2025-07-01,IN_BOUND,Yes,Yes,Dissatisfied,0,Yes,No,Yes,1
FU6207,677090000000.0,2025-06-30,IN_BOUND,No,No,Dissatisfied,20,Yes,No,Yes,1
GE1738,592600000000.0,2024-12-17,IN_BOUND,Yes,Yes,Dissatisfied,20,Yes,Yes,Yes,1
GE1738,595746000000.0,2025-02-10,IN_BOUND,No,Yes,Dissatisfied,40,Yes,Yes,Yes,1
HD1337,690632000000.0,2025-12-22,IN_BOUND,Yes,No,Dissatisfied,50,Yes,No,Yes,1
QS6640,678084000000.0,2025-07-11,IN_BOUND,Yes,Yes,Neutral,50,Yes,Yes,Yes,1
TD6813,679955000000.0,2025-08-06,IN_BOUND,No,Yes,Dissatisfied,20,No,Yes,Yes,1
GL9081,687553000000.0,2025-11-14,IN_BOUND,Yes,No,Dissatisfied,40,Yes,No,Yes,1
