Co_Ref,crm_customer_payment_intention,crm_contractor_suggested_leave,crm_customer_complained,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_agent_chase_count,crm_financial_hardship_mentioned,crm_delays_in_accreditation,crm_membership_overdue
EJ1532,No,No,No,Yes,No,1,No,No,No
GW7224,No,No,No,Yes,No,0,No,No,No
IA7035,No,No,No,Yes,Yes,0,No,No,No
RT3992,No,No,No,Yes,No,1,No,No,No
EV3840,Yes,No,No,Yes,No,1,No,No,Yes
QR6477,No,No,No,Yes,No,0,No,No,No
SX7731,No,No,No,Yes,No,0,No,No,Yes
ZA7963,No,No,No,Yes,No,0,No,No,No
NE1746,No,No,No,Yes,No,2,No,Yes,No
VD1016,No,No,No,Yes,No,1,No,Yes,No
CN6731,Yes,No,No,Yes,Yes,1,No,No,No
MH1712,No,No,No,Yes,Yes,0,No,No,No
DQ7465,No,No,No,Yes,Yes,1,Yes,No,No
ID6919,No,No,No,Yes,Yes,0,Yes,No,No
TU4738,No,No,No,Yes,Yes,0,Yes,No,No
ZB8005,Yes,No,No,Yes,Yes,0,Yes,No,No
WU9480,No,No,No,Yes,Yes,0,Yes,No,No
CO7881,No,No,No,Yes,Yes,1,Yes,No,No
OZ6540,No,No,No,Yes,Yes,1,Yes,Yes,No
LA1856,No,No,No,Yes,No,0,Yes,No,No
YD4355,Yes,No,No,Yes,No,0,Yes,No,No
KO6825,No,No,No,Yes,No,0,Yes,No,No
SJ7759,No,No,No,Yes,No,0,Yes,No,No
CW2231,No,No,No,Yes,No,0,Yes,Yes,Yes
ZS2692,No,No,No,Yes,No,2,Yes,Yes,Yes
IC5614,No,No,No,Yes,No,0,Yes,Yes,No
ZT2165,No,No,No,Yes,No,1,Yes,Yes,No
GA1869,No,No,No,Yes,No,0,Yes,No,Yes
SJ9858,No,No,No,Yes,No,0,Yes,No,No
RB1299,No,No,No,Yes,No,0,Yes,No,No
IZ4764,No,No,No,Yes,No,0,Yes,No,No
VQ5429,No,No,No,Yes,No,1,Yes,No,Yes
OF9263,No,No,No,Yes,No,0,Yes,No,No
ON9900,Yes,No,No,Yes,No,0,Yes,No,No
AY9976,No,No,No,Yes,No,0,Yes,No,No
HJ7372,No,No,No,Yes,No,0,Yes,No,No
QF7122,No,No,No,Yes,No,0,Yes,No,No
XV3033,No,No,No,Yes,No,1,Yes,No,No
ZZ3175,No,No,No,Yes,No,1,Yes,Yes,No
GH7400,No,No,No,Yes,No,1,Yes,No,No
KS0620,No,No,No,Yes,No,1,Yes,Yes,No
RM0044,No,No,No,Yes,No,1,Yes,No,Yes
RI7813,No,No,No,Yes,No,1,Yes,Yes,No
ZB8379,No,No,No,Yes,No,2,Yes,No,No
ZY7200,No,No,No,Yes,No,0,Yes,No,No
ER9115,No,No,No,Yes,No,0,Yes,No,No
WF3506,No,No,No,Yes,No,0,Yes,No,No
EA8797,No,No,No,Yes,No,1,Yes,No,No
HJ7364,No,No,No,Yes,No,2,Yes,No,No
ZY7404,No,No,No,Yes,No,0,Yes,Yes,Yes
BC1072,No,No,No,Yes,No,2,Yes,Yes,No
RW3073,Yes,No,No,Yes,No,0,Yes,No,No
EM1597,Yes,No,No,Yes,No,2,Yes,No,Yes
FZ4292,Yes,No,No,Yes,No,0,Yes,No,No
NV6609,No,No,No,Yes,No,2,Yes,No,No
BD8006,No,No,No,Yes,No,1,Yes,No,No
MA2778,No,No,No,Yes,No,0,Yes,No,No
JW4324,No,No,No,Yes,No,1,Yes,Yes,No
VD5503,Yes,No,No,Yes,No,0,Yes,No,No
TC0874,Yes,No,No,Yes,No,0,Yes,No,Yes
YA0136,No,No,No,Yes,No,0,Yes,No,No
CB2519,Yes,No,No,Yes,No,1,Yes,No,No
QB0789,No,No,No,Yes,No,1,Yes,No,Yes
QL8403,No,No,No,Yes,No,0,Yes,No,Yes
YX5287,Yes,No,No,Yes,No,4,Yes,No,Yes
HV8828,No,No,No,Yes,No,1,Yes,No,No
JE0785,No,No,No,Yes,No,0,Yes,No,No
SK9950,No,No,No,Yes,No,0,Yes,No,No
MM1185,Yes,No,No,Yes,No,1,Yes,No,Yes
AW2624,No,No,No,Yes,No,0,No,No,No
IL1364,No,No,No,Yes,No,1,No,No,No
RF7762,No,No,No,Yes,No,1,No,No,No
XA2028,No,No,No,Yes,No,1,No,No,No
YO6449,No,No,No,Yes,No,1,No,No,No
ZJ6828,No,No,No,Yes,No,1,No,No,No
EK1068,No,No,No,Yes,No,0,No,No,No
FC7865,No,No,No,Yes,No,0,No,No,No
CU7144,No,No,No,Yes,No,1,No,No,No
DO1197,No,No,No,Yes,No,2,No,No,No
DX8914,No,No,No,Yes,No,1,No,No,No
GK0364,No,No,No,Yes,No,2,No,No,No
UP9417,No,No,No,Yes,No,2,No,No,No
UV4196,No,No,No,Yes,No,0,No,No,No
DD2706,No,No,No,Yes,No,2,No,No,No
GV4920,No,No,No,Yes,No,2,No,No,No
GV9387,No,No,No,Yes,No,1,No,No,No
PG9710,No,No,No,Yes,No,1,No,No,No
QE0187,No,No,No,Yes,No,1,No,No,No
QN4812,No,No,No,Yes,No,2,No,No,No
CT2223,No,No,No,Yes,No,2,No,No,No
EM9294,No,No,No,Yes,No,2,No,No,No
EP1729,No,No,No,Yes,No,0,No,No,No
II4597,No,No,No,Yes,No,2,No,No,No
KO7858,No,No,No,Yes,No,1,No,No,No
PJ6425,No,No,No,Yes,No,0,No,No,No
VU0574,No,No,No,Yes,No,1,No,No,No
YA3306,No,No,No,Yes,No,1,No,No,No
ZF7530,No,No,No,Yes,No,1,No,No,No
BM6196,No,No,No,Yes,No,1,No,No,No
CV9926,No,No,No,Yes,No,2,No,No,No
DF6845,No,No,No,Yes,No,2,No,No,No
GJ1472,No,No,No,Yes,No,1,No,No,No
GT4655,No,No,No,Yes,No,3,No,No,No
II8341,No,No,No,Yes,No,0,No,No,No
KJ0653,No,No,No,Yes,No,1,No,No,No
LL4063,No,No,No,Yes,No,2,No,No,No
SQ2204,No,No,No,Yes,No,1,No,No,No
CK8124,No,No,No,Yes,No,2,No,No,No
KP7104,No,No,No,Yes,No,2,No,No,No
ZG8849,No,No,No,Yes,No,1,No,No,No
BZ8261,No,No,No,Yes,No,1,No,No,No
